"SULA,243.0: At Weekly Horizontal Support after '8' Months. Support Date - 03-Mar-2025. Support Price - 243.0"
"JTLIND,59.77: At Weekly Horizontal Support after '6' Months. Support Date - 05-May-2025. Support Price - 59.77"
"TARSONS,280.0: At Weekly Horizontal Support after '8' Months. Support Date - 17-Feb-2025. Support Price - 280.0"
"TTKHLTCARE,1101.05: At Weekly Horizontal Support after '7' Months. Support Date - 17-Mar-2025. Support Price - 1101.05"
"WONDERLA,552.5: At Weekly Horizontal Support after '1' Months. Support Date - 29-Sep-2025. Support Price - 552.5"
"VPRPL,88.0: At Weekly Horizontal Support after '1' Months. Support Date - 06-Oct-2025. Support Price - 88.0"
"PRAJIND,328.55: At Weekly Horizontal Support after '1' Months. Support Date - 29-Sep-2025. Support Price - 328.55"
"HEIDELBERG,182.42: At Weekly Horizontal Support after '6' Months. Support Date - 07-Apr-2025. Support Price - 182.42"
"COLPAL,2151.0: At Weekly Horizontal Support after '2' Months. Support Date - 11-Aug-2025. Support Price - 2151.0"
"SYNGENE,599.55: At Weekly Horizontal Support after '6' Months. Support Date - 05-May-2025. Support Price - 599.55"
"JUSTDIAL,751.8: At Weekly Horizontal Support after '6' Months. Support Date - 07-Apr-2025. Support Price - 751.8"
"PETRONET,266.1: At Weekly Horizontal Support after '1' Months. Support Date - 22-Sep-2025. Support Price - 266.1"
"SAREGAMA,417.4: At Weekly Horizontal Support after '8' Months. Support Date - 03-Mar-2025. Support Price - 417.4"
"GANECOS,1148.8: At Weekly Horizontal Support after '1' Months. Support Date - 29-Sep-2025. Support Price - 1148.8"
"STANLEY,258.6: At Weekly Horizontal Support after '8' Months. Support Date - 03-Mar-2025. Support Price - 258.6"
"WENDT,8162.0: At Weekly Horizontal Support after '5' Months. Support Date - 02-Jun-2025. Support Price - 8162.0"
"EMUDHRA,625.15: At Weekly Horizontal Support after '1' Months. Support Date - 29-Sep-2025. Support Price - 625.15"
"SHOPERSTOP,467.15: At Weekly Horizontal Support after '7' Months. Support Date - 10-Mar-2025. Support Price - 467.15"
"LTTS,3951.3: At Weekly Horizontal Support after '1' Months. Support Date - 29-Sep-2025. Support Price - 3951.3"
"ENTERO,1044.9: At Weekly Horizontal Support after '1' Months. Support Date - 06-Oct-2025. Support Price - 1044.9"
"MANINFRA,135.1: At Weekly Horizontal Support after '7' Months. Support Date - 17-Mar-2025. Support Price - 135.1"
"TEAMLEASE,1641.2: At Weekly Horizontal Support after '6' Months. Support Date - 07-Apr-2025. Support Price - 1641.2"
"BSHSL,115.82: At Weekly Horizontal Support after '6' Months. Support Date - 07-Apr-2025. Support Price - 115.82"
"PATELENG,35.68: At Weekly Horizontal Support after '6' Months. Support Date - 07-Apr-2025. Support Price - 35.68"
"BHAGCHEM,239.8: At Weekly Horizontal Support after '1' Months. Support Date - 29-Sep-2025. Support Price - 239.8"
"JINDWORLD,33.89: At Weekly Horizontal Support after '2' Months. Support Date - 11-Aug-2025. Support Price - 33.89"
"HINDOILEXP,147.84: At Weekly Horizontal Support after '6' Months. Support Date - 07-Apr-2025. Support Price - 147.84"
"EASEMYTRIP,7.92: At Weekly Horizontal Support after '1' Months. Support Date - 06-Oct-2025. Support Price - 7.92"
"ACC,1778.45: At Weekly Horizontal Support after '8' Months. Support Date - 03-Mar-2025. Support Price - 1778.45"
"GENESYS,472.2: At Weekly Horizontal Support after '1' Months. Support Date - 06-Oct-2025. Support Price - 472.2"
"EXICOM,130.37: At Weekly Horizontal Support after '7' Months. Support Date - 17-Mar-2025. Support Price - 130.37"
"ELECTCAST,86.25: At Weekly Horizontal Support after '6' Months. Support Date - 05-May-2025. Support Price - 86.25"
"SAPPHIRE,275.8: At Weekly Horizontal Support after '6' Months. Support Date - 07-Apr-2025. Support Price - 275.8"
"MONARCH,294.5: At Weekly Horizontal Support after '6' Months. Support Date - 05-May-2025. Support Price - 294.5"
"PAGEIND,38850.0: At Weekly Horizontal Support after '7' Months. Support Date - 10-Mar-2025. Support Price - 38850.0"
"EMAMILTD,507.7: At Weekly Horizontal Support after '8' Months. Support Date - 24-Feb-2025. Support Price - 507.7"
"SEPC,10.9: At Weekly Horizontal Support after '2' Months. Support Date - 11-Aug-2025. Support Price - 10.9"
