"Ticker","TimeFrame","Today's Price","Previous High Date","Previous High Price","Breakout date","Time since Breakout","Percentage Above Retest level"
"INDIASHLTR","Daily","1002.1","2025-06-09","911.0","2025-07-09","12 Days","9.999997"
"IIFL","Daily","536.45","2025-06-11","495.5","2025-07-08","13 Days","8.264382"
"SAMHI","Daily","248.97","2025-06-12","230.0","2025-07-09","12 Days","8.247827"
"SIRCA","Daily","417.8","2025-06-11","393.1","2025-07-07","14 Days","6.283384"
"MSUMI","Daily","43.81","2025-06-10","41.893333","2025-07-08","13 Days","4.5751143"
"VENUSPIPES","Daily","1606.9","2025-05-26","1545.0","2025-07-08","13 Days","4.006474"
"MOTILALOFS","Daily","933.5","2025-06-10","898.2","2025-07-03","18 Days","3.9300811"
"ADOR","Daily","1104.4","2025-06-11","1076.9","2025-07-03","18 Days","2.553626"
"SANGHIIND","Daily","68.83","2025-05-23","64.14","2025-06-27","24 Days","7.312134"
"TRANSRAILL","Daily","727.7","2025-06-04","699.2","2025-07-03","18 Days","4.0760865"
"JKLAKSHMI","Daily","994.9","2025-05-23","918.2","2025-07-01","20 Days","8.353301"
"SRM","Daily","507.4","2025-06-02","467.9","2025-06-23","28 Days","8.441975"
"VOLTAMP","Daily","9543.0","2025-06-05","9335.0","2025-06-27","24 Days","2.2281737"
"VERANDA","Daily","244.92","2025-05-29","228.0","2025-07-04","17 Days","7.4210515"
"SAKSOFT","Daily","229.83","2025-05-27","216.6","2025-07-03","18 Days","6.1080313"
"DABUR","Daily","514.55","2025-06-05","494.35","2025-07-04","17 Days","4.08617"
"UDAICEMENT","Daily","37.05","2025-05-23","33.9","2025-07-02","19 Days","9.292028"
"RELAXO","Daily","497.75","2025-05-22","458.3","2025-07-04","17 Days","8.607902"
"METROPOLIS","Daily","1938.8","2025-06-12","1773.1","2025-07-04","17 Days","9.345219"
"GMMPFAUDLR","Daily","1314.2","2025-05-21","1275.0","2025-07-04","17 Days","3.0745058"
"KKCL","Daily","549.85","2025-06-11","544.75","2025-07-02","19 Days","0.93620473"
"AMBUJACEM","Daily","613.25","2025-05-26","576.35","2025-06-27","24 Days","6.4023643"
"ACMESOLAR","Daily","286.27","2025-05-30","268.79","2025-07-09","12 Days","6.503211"
"HONAUT","Daily","40535.0","2025-05-29","39930.0","2025-07-03","18 Days","1.5151515"
"SHARDAMOTR","Daily","1087.8","2025-06-09","1008.95","2025-07-02","19 Days","7.8150587"
"HEIDELBERG","Daily","214.17","2025-05-27","204.41","2025-06-26","25 Days","4.7747145"
"BAYERCROP","Daily","6288.0","2025-05-27","5857.9","2025-06-26","25 Days","7.342223"
"LEMONTREE","Daily","156.24","2025-05-30","145.8","2025-07-08","13 Days","7.1604953"
"NATCOPHARM","Daily","1015.6","2025-06-12","955.0","2025-07-03","18 Days","6.345547"
"MUFIN","Daily","90.78","2025-05-16","89.0","2025-07-09","12 Days","1.9999987"
"KIMS","Daily","747.1","2025-04-28","708.0","2025-07-09","12 Days","5.5225954"
